TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
audit_logs	id	bigint unsigned	NO	NULL	PRI	auto_increment
audit_logs	workspace_id	bigint unsigned	YES	NULL	MUL	
audit_logs	user_id	bigint unsigned	YES	NULL	MUL	
audit_logs	action	varchar(100)	NO	NULL		
audit_logs	entity_type	varchar(100)	NO	NULL	MUL	
audit_logs	entity_id	bigint unsigned	YES	NULL		
audit_logs	old_value_json	json	YES	NULL		
audit_logs	new_value_json	json	YES	NULL		
audit_logs	ip_address	varchar(45)	YES	NULL		
audit_logs	user_agent	varchar(500)	YES	NULL		
audit_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
cost_components	id	bigint unsigned	NO	NULL	PRI	auto_increment
cost_components	workspace_id	bigint unsigned	NO	NULL	MUL	
cost_components	name	varchar(120)	NO	NULL		
cost_components	code	varchar(60)	YES	NULL		
cost_components	category	varchar(60)	NO	NULL		
cost_components	calculation_type	varchar(50)	NO	MANUAL		
cost_components	default_unit	varchar(40)	YES	NULL		
cost_components	default_unit_cost	decimal(14,4)	YES	NULL		
cost_components	description	text	YES	NULL		
cost_components	is_active	tinyint(1)	NO	1		
cost_components	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
cost_components	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
custom_requests	id	bigint unsigned	NO	NULL	PRI	auto_increment
custom_requests	workspace_id	bigint unsigned	NO	NULL	MUL	
custom_requests	request_number	varchar(60)	YES	NULL		
custom_requests	customer_id	bigint unsigned	NO	NULL	MUL	
custom_requests	source	varchar(60)	NO	CUSTOMER_APP		
custom_requests	existing_product_id	bigint unsigned	YES	NULL	MUL	
custom_requests	title	varchar(180)	YES	NULL		
custom_requests	description	text	YES	NULL		
custom_requests	requested_quantity	int unsigned	NO	1		
custom_requests	requested_height_mm	decimal(10,2)	YES	NULL		
custom_requests	requested_width_mm	decimal(10,2)	YES	NULL		
custom_requests	requested_length_mm	decimal(10,2)	YES	NULL		
custom_requests	preferred_material_id	bigint unsigned	YES	NULL	MUL	
custom_requests	preferred_color	varchar(100)	YES	NULL		
custom_requests	target_date	date	YES	NULL		
custom_requests	status	varchar(40)	NO	NEW		
custom_requests	assigned_designer_id	bigint unsigned	YES	NULL	MUL	
custom_requests	created_by_user_id	bigint unsigned	YES	NULL	MUL	
custom_requests	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
custom_requests	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
customer_accounts	id	bigint unsigned	NO	NULL	PRI	auto_increment
customer_accounts	customer_id	bigint unsigned	NO	NULL	UNI	
customer_accounts	email	varchar(190)	NO	NULL	UNI	
customer_accounts	password_hash	varchar(255)	NO	NULL		
customer_accounts	email_verified_at	datetime	YES	NULL		
customer_accounts	last_login_at	datetime	YES	NULL		
customer_accounts	is_active	tinyint(1)	NO	1		
customer_accounts	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
customer_accounts	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
customers	id	bigint unsigned	NO	NULL	PRI	auto_increment
customers	customer_code	varchar(60)	YES	NULL	UNI	
customers	full_name	varchar(150)	NO	NULL	MUL	
customers	email	varchar(190)	YES	NULL	MUL	
customers	phone	varchar(30)	YES	NULL	MUL	
customers	address_text	text	YES	NULL		
customers	notes	text	YES	NULL		
customers	is_active	tinyint(1)	NO	1		
customers	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
customers	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
design_assets	id	bigint unsigned	NO	NULL	PRI	auto_increment
design_assets	workspace_id	bigint unsigned	NO	NULL	MUL	
design_assets	custom_request_id	bigint unsigned	YES	NULL	MUL	
design_assets	design_task_id	bigint unsigned	YES	NULL	MUL	
design_assets	file_name	varchar(255)	NO	NULL		
design_assets	asset_type	varchar(50)	NO	NULL		
design_assets	mime_type	varchar(120)	YES	NULL		
design_assets	file_size_bytes	bigint unsigned	YES	NULL		
design_assets	storage_provider	varchar(40)	YES	NULL		
design_assets	bucket_name	varchar(120)	YES	NULL		
design_assets	object_key	varchar(500)	YES	NULL		
design_assets	external_url	text	YES	NULL		
design_assets	version_label	varchar(60)	YES	NULL		
design_assets	is_final	tinyint(1)	NO	0		
design_assets	uploaded_by_user_id	bigint unsigned	YES	NULL	MUL	
design_assets	notes	text	YES	NULL		
