TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
audit_logs	workspace_id	workspaces	id
audit_logs	user_id	users	id
cost_components	workspace_id	workspaces	id
custom_requests	workspace_id	workspaces	id
custom_requests	customer_id	customers	id
custom_requests	existing_product_id	products	id
custom_requests	preferred_material_id	materials	id
custom_requests	assigned_designer_id	users	id
custom_requests	created_by_user_id	users	id
customer_accounts	customer_id	customers	id
design_assets	workspace_id	workspaces	id
design_assets	custom_request_id	custom_requests	id
design_assets	design_task_id	design_tasks	id
design_assets	uploaded_by_user_id	users	id
design_tasks	workspace_id	workspaces	id
design_tasks	custom_request_id	custom_requests	id
design_tasks	assigned_to_user_id	users	id
experiment_measurements	experiment_id	experiments	id
experiments	workspace_id	workspaces	id
experiments	printer_id	printers	id
experiments	material_id	materials	id
experiments	print_profile_id	print_profiles	id
experiments	performed_by_user_id	users	id
filament_spools	workspace_id	workspaces	id
filament_spools	material_id	materials	id
guest_access_tokens	customer_id	customers	id
guest_access_tokens	custom_request_id	custom_requests	id
guest_access_tokens	order_id	orders	id
ip_review_checklists	ip_review_id	ip_reviews	id
ip_reviews	workspace_id	workspaces	id
ip_reviews	custom_request_id	custom_requests	id
ip_reviews	order_id	orders	id
ip_reviews	reviewed_by_user_id	users	id
material_usages	workspace_id	workspaces	id
material_usages	print_job_id	print_jobs	id
material_usages	filament_spool_id	filament_spools	id
material_usages	recorded_by_user_id	users	id
materials	workspace_id	workspaces	id
notification_settings	workspace_id	workspaces	id
notifications	workspace_id	workspaces	id
notifications	recipient_user_id	users	id
order_items	order_id	orders	id
order_items	product_id	products	id
order_items	product_variant_id	product_variants	id
order_items	design_asset_id	design_assets	id
order_packaging	workspace_id	workspaces	id
order_packaging	order_id	orders	id
order_packaging	packaging_type_id	packaging_types	id
order_packaging	packed_by_user_id	users	id
orders	workspace_id	workspaces	id
orders	customer_id	customers	id
orders	custom_request_id	custom_requests	id
orders	quotation_id	quotations	id
orders	created_by_user_id	users	id
packaging_types	workspace_id	workspaces	id
pricing_rules	workspace_id	workspaces	id
pricing_rules	material_id	materials	id
pricing_rules	product_id	products	id
print_failures	workspace_id	workspaces	id
print_failures	print_job_id	print_jobs	id
print_failures	reported_by_user_id	users	id
print_jobs	workspace_id	workspaces	id
print_jobs	production_job_id	production_jobs	id
print_jobs	printer_id	printers	id
print_jobs	print_profile_id	print_profiles	id
print_jobs	slicing_result_id	slicing_results	id
print_jobs	operator_id	users	id
print_profiles	workspace_id	workspaces	id
print_profiles	printer_id	printers	id
print_profiles	material_id	materials	id
printers	workspace_id	workspaces	id
product_assets	product_id	products	id
product_assets	source_design_asset_id	design_assets	id
product_assets	uploaded_by_user_id	users	id
product_categories	workspace_id	workspaces	id
product_categories	parent_id	product_categories	id
product_images	product_id	products	id
product_sales_channels	product_id	products	id
product_variants	product_id	products	id
product_variants	material_id	materials	id
production_costs	workspace_id	workspaces	id
production_costs	order_id	orders	id
production_costs	production_job_id	production_jobs	id
production_costs	print_job_id	print_jobs	id
production_costs	cost_component_id	cost_components	id
production_costs	recorded_by_user_id	users	id
production_jobs	workspace_id	workspaces	id
production_jobs	order_item_id	order_items	id
production_jobs	assigned_operator_id	users	id
products	workspace_id	workspaces	id
products	category_id	product_categories	id
products	default_material_id	materials	id
products	created_by_user_id	users	id
qc_check_items	qc_inspection_id	qc_inspections	id
qc_inspections	workspace_id	workspaces	id
qc_inspections	production_job_id	production_jobs	id
qc_inspections	print_job_id	print_jobs	id
qc_inspections	inspected_by_user_id	users	id
quotation_items	quotation_id	quotations	id
quotation_items	product_id	products	id
quotation_items	product_variant_id	product_variants	id
quotations	workspace_id	workspaces	id
quotations	custom_request_id	custom_requests	id
quotations	customer_id	customers	id
quotations	approved_by_user_id	users	id
request_files	custom_request_id	custom_requests	id
request_files	uploaded_by_user_id	users	id
request_files	uploaded_by_customer_account_id	customer_accounts	id
request_notes	custom_request_id	custom_requests	id
request_notes	user_id	users	id
request_notes	customer_account_id	customer_accounts	id
slicing_results	workspace_id	workspaces	id
slicing_results	production_job_id	production_jobs	id
slicing_results	design_asset_id	design_assets	id
slicing_results	printer_id	printers	id
slicing_results	print_profile_id	print_profiles	id
slicing_results	created_by_user_id	users	id
workspace_members	workspace_id	workspaces	id
workspace_members	user_id	users	id
workspace_members	role_id	roles	id
workspace_settings	workspace_id	workspaces	id
